condition,bf,logbf
1 Accidental,2.6668708001300535e-11,-24.34753022280381
2 Accidental,1.0097468677337488e-7,-16.108395977523287
3 Accidental,0.24236668848495427,-1.417303457972423
4 Accidental,0.27342565600556334,-1.2967255185479871
1 Pedagogical,2.1208418695566576e-7,-15.366282532819582
2 Pedagogical,22.309583098791048,3.105016321528069
3 Pedagogical,97.18309158171755,4.57659674141388
4 Pedagogical,564.4980142628398,6.335936865891483
Generic + 1 Pedagogical,45.97773501825644,3.8281572579707017
