marg_ll,n_c,condition,iter
34.08060997927626,2,2accidental,1
34.50541085087789,2,2accidental,2
33.83626471272832,2,2accidental,3
151.5490929385131,2,3accidental,1
150.99910820069437,2,3accidental,2
151.81047273768257,2,3accidental,3
199.6146432924039,2,3pedagogical,1
200.96977602209705,2,3pedagogical,2
200.51312491917906,2,3pedagogical,3
136.19837219634476,2,2pedagogical,1
136.75659714192423,2,2pedagogical,2
136.52530849409663,2,2pedagogical,3
242.49145794357332,2,4pedagogical,1
243.2295476551914,2,4pedagogical,2
243.079584860641,2,4pedagogical,3
208.21789143948797,2,4accidental,1
209.9154614621774,2,4accidental,2
209.55336323949174,2,4accidental,3
72.67569478111804,2,pedagogical,1
73.62408966698916,2,pedagogical,2
74.1254443520081,2,pedagogical,3
19.897971202636345,2,accidental,1
19.975348181150288,2,accidental,2
19.836124350699794,2,accidental,3
189.6280501976774,2,generic,1
189.08305892434547,2,generic,2
189.02065803194236,2,generic,3
