marg_ll,n_c,condition,iter
21.4467380187119,2,2accidental,1
21.41148274436312,2,2accidental,2
21.412688119793213,2,2accidental,3
83.8522573518108,2,4accidental,1
84.06326020485314,2,4accidental,2
83.68187686442266,2,4accidental,3
189.3132249076068,2,generic,1
188.3276930111129,2,generic,2
188.74534962093196,2,generic,3
76.9094732792552,2,2pedagogical,1
76.55543468286994,2,2pedagogical,2
77.02329343038978,2,2pedagogical,3
24.45083135414115,2,accidental,1
24.400420301969216,2,accidental,2
24.492878296920715,2,accidental,3
138.79949227096628,2,3pedagogical,1
139.10375836594486,2,3pedagogical,2
138.4222391299547,2,3pedagogical,3
256.5957030213028,2,pedageneric,1
255.96109748683344,2,pedageneric,2
255.78079296077365,2,pedageneric,3
42.23495174321356,2,pedagogical,1
41.469664392080965,2,pedagogical,2
41.4552966663006,2,pedagogical,3
216.59498288396094,2,4pedagogical,1
216.53309482353956,2,4pedagogical,2
216.89558197779795,2,4pedagogical,3
74.24798263459184,2,3accidental,1
74.17888078704486,2,3accidental,2
74.19243380016725,2,3accidental,3
