marg_ll,n_c,condition,iter
191.7327024657718,2,2accidental,1
191.18738776512967,2,2accidental,2
192.6559767953173,2,2accidental,3
274.04491708384313,2,4accidental,1
273.63689133446917,2,4accidental,2
272.538067944947,2,4accidental,3
267.20964847948727,2,2pedagogical,1
267.39671536383474,2,2pedagogical,2
265.3328843666124,2,2pedagogical,3
186.88212007212806,2,accidental,1
187.0517328742579,2,accidental,2
187.09460627385053,2,accidental,3
332.7504195260351,2,3pedagogical,1
332.3721659014547,2,3pedagogical,2
332.05959974174453,2,3pedagogical,3
448.2116045013489,2,pedageneric,1
449.75212682975484,2,pedageneric,2
450.5173812227839,2,pedageneric,3
215.1835896412059,2,pedagogical,1
215.17210872134342,2,pedagogical,2
215.65053105622613,2,pedagogical,3
412.9823762004474,2,4pedagogical,1
413.47019909906385,2,4pedagogical,2
412.5094709815452,2,4pedagogical,3
266.36700195612053,2,3accidental,1
266.61563059072313,2,3accidental,2
266.48661068427185,2,3accidental,3
