marg_ll,n_c,condition,iter
205.02611414546413,2,2accidental,1
205.23758005049817,2,2accidental,2
203.12281144129543,2,2accidental,3
349.51568890217766,2,3accidental,1
349.7368171896717,2,3accidental,2
349.83293963196354,2,3accidental,3
396.39919966838744,2,3pedagogical,1
397.426856883978,2,3pedagogical,2
396.95686394942123,2,3pedagogical,3
333.307471152472,2,2pedagogical,1
332.87392311777575,2,2pedagogical,2
330.80343188533647,2,2pedagogical,3
440.5606700965473,2,4pedagogical,1
440.6364154087597,2,4pedagogical,2
439.3576048346425,2,4pedagogical,3
407.1234963383529,2,4accidental,1
405.6026631085232,2,4accidental,2
405.40356118638147,2,4accidental,3
243.20368229849913,2,pedagogical,1
242.5668793500621,2,pedagogical,2
242.7503751292775,2,pedagogical,3
169.18309960623722,2,accidental,1
168.7317905314949,2,accidental,2
169.41658534578295,2,accidental,3
